회사명,거래소코드,회계년도,자본(천원),유동자산(천원),재고자산(천원),부채(천원),유동부채(천원),자본금(천원),비유동자산(천원),매출액(영업수익)(천원),당기순이익(순손실)(천원),유형자산(천원),영업이익(손실)(천원),이자비용(천원)
(주)가이아코퍼레이션,296520,2017/12,6726989.0,17610867.0,10588189.0,12195976.0,7279341.0,1243750.0,1312098.0,32290724.0,1228469.0,752531.0,1228469.0,101793.0
(주)가이아코퍼레이션,296520,2018/12,4085779.0,17662061.0,10655745.0,14918170.0,14896947.0,1243750.0,1341888.0,32601806.0,-2641210.0,941276.0,-2641210.0,112708.0
(주)가이아코퍼레이션,296520,2019/12,-3069187.0,15750253.0,8486774.0,20040572.0,18624743.0,1243750.0,1221132.0,43168760.0,-7154966.0,0.0,-7154966.0,180405.0
(주)가이아코퍼레이션,296520,2020/12,-2946351.0,15676924.0,8625908.0,19614780.0,19593009.0,1243750.0,991506.0,32823843.0,122836.0,244589.0,122836.0,212622.0
(주)가이아코퍼레이션,296520,2021/12,-1471056.0,0.0,0.0,14183765.0,14137081.0,1243750.0,1470124.0,32011281.0,1856531.0,573543.0,1856531.0,274121.0
(주)가이아코퍼레이션,296520,2022/12,6657022.0,0.0,0.0,8798126.0,8798126.0,2100945.0,1920463.0,37747914.0,688744.0,655283.0,688744.0,186016.0
(주)골프존데카,183410,2013/12,12355200.0,12591198.0,3835589.0,4368514.0,2985360.0,2260830.0,4132516.0,15260241.0,1371646.0,149312.0,1341818.0,0.0
(주)골프존데카,183410,2014/12,11934258.0,14640105.0,3830383.0,5758541.0,3711251.0,2298270.0,3052694.0,16069665.0,-729377.0,87949.0,405934.0,0.0
(주)골프존데카,183410,2015/12,12025346.0,14429145.0,3484027.0,5590441.0,3512269.0,2298270.0,3186642.0,14408695.0,-77178.0,47012.0,-281308.0,0.0
(주)골프존데카,183410,2016/12,5646101.0,9015445.0,3536608.0,4402759.0,3887417.0,2322212.0,1033415.0,10666243.0,-6386080.0,26871.0,-1318727.0,0.0
(주)골프존데카,183410,2017/12,1479986.0,5752264.0,1542995.0,5598436.0,4558261.0,2328198.0,1326157.0,9727750.0,-4032964.0,16499.0,-3483376.0,0.0
(주)골프존데카,183410,2018/12,1007010.0,0.0,0.0,8150708.0,4795797.0,2055581.0,602362.0,15393662.0,-1940033.0,355526.0,-1940033.0,995376.0
(주)골프존데카,183410,2019/12,-5680203.0,0.0,0.0,13836900.0,11183283.0,2055581.0,1383228.0,14159891.0,-6449858.0,365592.0,-6449858.0,272578.0
(주)골프존데카,183410,2020/12,-4466042.0,0.0,0.0,11097841.0,9943954.0,2055581.0,1109722.0,17456466.0,1220661.0,253588.0,1220661.0,380927.0
