회사명,거래소코드,회계년도,산업코드,산업명,업종코드,소속코드,설립일,상장일,상장폐지일,기업규모코드,기업규모명,감사의견코드,통계청 한국표준산업분류 코드 10차(대분류),통계청 한국표준산업분류 10차(대분류),총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,총자본순이익률,자기자본영업이익률,자기자본순이익률,자본금영업이익률,자본금순이익률,조세 대 조세차감전순이익률,기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),CPS(Cash flow Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,매출채권 대 상,제품비율,매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,상품,제품회전률,원,부재료회전률,재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,감사의견
(주)가이아코퍼레이션,296520,Dec-17,74604,  도매 및 상품 중개업,1,8,2010-08-22,2023-06-20,,,,UQ,46,도매 및 소매업,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(주)가이아코퍼레이션,296520,Dec-18,74604,  도매 및 상품 중개업,1,8,2010-08-22,2023-06-20,,20,중소기업,UQ,46,도매 및 소매업,0.427966759,0,0,,,0,-39.26288567,0,0,0,0,0,0,19.74,-5.5,-8.1,-9.4,-9.43,-13.9,-43.88,-64.64,-144.15,-212.36,0,-13.33,-9.53,-14.04,80.26,105.5,-2.41,0.33,-0.31,2.78,107.87,9.51,0,0.3,0.52,16.31,42.18,0.72,1.21,1.21,0,38.81,69.56,0,0,0,131062.54,-10618,-1021.37,228.5,0,-7207.43,92.94,60.33,1316.21,36.87,7.06,21.5,78.5,328.5,32.84,32.67,118.56,47.03,0.07,53.62,385.36,150.42,56.52,35.65,365.12,364.6,0,0.52,0.77,14.55,48.86,227.25,-15.91,-23.09,14.95,2.29,54.18,4.12,57.69,-1.7,-2.74,-1.34,-0.78,-16.75,1.72,1.73,7.98,26.21,2.19,8.58,42.52,1.85,4.65,3.06,119.3,3.22,0,0,5.71,63.97,24.3,34.64,1,5.48,0.01,1785.52,0,0,9.4,189.69,302.74,5.48,188.32,-88.32,-147.92,,,,
(주)가이아코퍼레이션,296520,Dec-19,74604,  도매 및 상품 중개업,1,8,2010-08-22,2023-06-20,,20,중소기업,UQ,46,도매 및 소매업,-10.69548229,0,-10.82,,,-20.35,-175.1187717,32.41,0,0,-9,0,0,19.29,-10.47,-16.57,-25.12,-25.14,-39.78,0,0,-363.53,-575.27,0,-38.79,-25.49,-40.35,80.71,110.47,-6.1,0.41,-0.03,1.84,116.48,7.84,0,0.35,1.74,87.85,228.75,1.01,1.78,1.86,0,0,0,0,0,0,173542.75,0,-2362.54,0,0,-18176.29,92.8,53.88,1289.81,42.8,7.2,0,118.08,0,0,0,84.57,39,7.68,51.26,0,173.72,53.53,29.51,0,0,98.16,0,0,-16.94,59.76,0,-25.06,-39.33,0,0,38.7,2.97,38.59,-2.1,-4.15,-2.48,-0.97,-25.48,2.4,2.43,0,34.71,2.47,13.7,26.64,2.58,6.05,4.51,80.93,4.73,2110.84,0,8.58,42.55,33.69,91.72,1.29,0,0.01,-1596.79,0,0,-9.41,0,0,-3.7,0,0,0,,,,
(주)가이아코퍼레이션,296520,Dec-20,74604,  도매 및 상품 중개업,1,8,2010-08-22,2023-06-20,,30,중견기업,UQ,46,도매 및 소매업,-1.785098859,0,-0.47,,,1.64,-4.002232513,-23.96,0,0,-18.8,0,0,32.16,2.1,0.37,4.12,4.1,0.73,0,0,55.38,9.88,0,1.97,4.18,0.74,67.84,97.9,-1.72,0.63,-0.16,0.49,99.63,10.58,0,0.63,1.79,68.72,242.45,1.05,3.72,2.68,0,0,0,0,0,0,131955.15,0,10485.25,0,0,2768.97,94.05,55.02,1581.12,42.3,5.95,0,117.68,0,0,0,80.01,35.99,3.66,54.01,0,137.49,54.95,39.28,0,0,0,0,0,-23.49,34.26,0,3.24,1.59,0,0,47.87,3.37,49.76,5.15,17.69,6.06,3.08,3.31,1.95,1.99,0,26.39,1.66,11.14,32.76,2.09,4.59,3.84,95.15,3.95,678.99,0,7.29,50.09,29.67,268.4,0.94,0,0.01,4648.17,0,0,27.89,1900.4,3579.34,14.16,74.85,25.15,2.64,,,,
(주)가이아코퍼레이션,296520,Dec-21,74604,  도매 및 상품 중개업,1,8,2010-08-22,2023-06-20,,20,중소기업,UQ,46,도매 및 소매업,-23.7318106,0,0,,,0,-50.07193644,0,0,0,0,0,0,41.39,2.54,5.8,6.43,6.38,14.6,0,0,65.26,149.27,0,16.72,6.44,14.73,58.61,97.46,3.26,0.84,0.28,0.16,94.58,10.32,0,0.83,2.77,61.03,156.49,1.89,4.61,4.61,0,0,0,0,0,0,128688.57,0,9875.45,-218.28,0,3263.12,88.44,56.14,764.74,38.79,11.56,0,111.57,-118.28,0,0,79.53,34.88,3.66,52.98,0,182.61,58.95,29.01,0,0,99.38,0,0,-22.77,46.76,0,2.96,7.91,0,0,35.12,4.59,39.38,17.32,41.32,19.32,7.67,3.02,2.52,2.54,0,25.74,2.26,17.48,20.88,2.85,6.49,5.07,71.96,5.64,1647.01,0,9.57,38.12,21.77,55.81,1.26,0,0.01,6598.75,0,0,51.91,1150.52,1630.6,20.61,50.7,49.3,28.13,,,,
(주)가이아코퍼레이션,296520,Dec-22,74604,  도매 및 상품 중개업,1,8,2010-08-22,2023-06-20,,20,중소기업,UQ,46,도매 및 소매업,21.57242017,14.25,20.39,-62.90156211,-0.629015621,22.32,-552.5335541,17.92,0,0,30.63,0,0,44.6,4.78,1.82,12.84,12.81,4.89,0,26.56,107.86,41.18,0,6.18,12.92,4.93,55.4,95.22,-2.95,0.48,-0.32,0.19,98.19,9.73,0,0.48,2.17,55.24,175.01,1.58,6.63,4.25,0,-34.77,67.96,0,0,0,151750.41,207,4793.48,216.86,0,7251.37,87.57,57.04,704.76,37.62,12.43,43.07,56.93,316.86,28.85,28.85,153.84,66.09,0.85,49.67,162.99,178.5,54.99,27.83,132.16,132.16,0,0,0,30.65,18.16,42.17,9.7,4.8,29.48,2.17,32.82,4.49,40.59,20.74,64.99,11.8,4.83,9.96,2.68,2.7,0,22.57,3.29,18.97,19.24,3.05,7.03,5.38,67.84,5.97,1823.35,0,10.52,34.7,22.27,61.44,1.58,0,0.01,5583.32,0,0,36.13,852.05,1181.47,14.79,65.24,34.76,12.34,,,,
(주)골프존데카,183410,Dec-13,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003-12-10,2013-11-12,,20,중소기업,UQ,27,제조업,8.208048218,-30.34,9.19,0,,49.42,85.59650246,-14.91,0,0,2.46,0,0,23.4,8.79,8.99,8.49,8.31,8.5,11.49,11.74,59.35,60.67,-4.76,9.25,10.12,10.34,76.6,91.21,-0.22,0.8,-0.61,0.26,91.73,5.51,0,0.84,0.86,36.43,506.44,2.73,5.1,5.11,0,-2.29,75.45,0,0,0,3374.92,186,-76.19,446.49,0,296.75,75.29,30.46,304.69,52.35,24.71,73.88,26.12,546.49,33.45,30.08,421.76,293.28,39.08,172.02,39.93,1446.66,567.24,11.89,35.36,24.16,74.79,11.19,14.4,57.44,17.78,24.07,8.85,11.73,60.36,4.46,79.04,26.75,90.29,32.16,47.23,8.4,9.21,11,0.95,1.15,1.31,6.75,3.42,26.25,13.9,1.27,1.72,4.77,76.57,22.64,15.65,9.86,2.37,153.94,3.74,83.92,1,0,0,2472.91,103.04,635.84,14.79,1656.2,5077.85,16.2,32.37,67.63,55.47,,,,
(주)골프존데카,183410,Dec-14,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003-12-10,2013-11-12,,20,중소기업,UQ,27,제조업,5.794675752,-41.1,16.27,0,,-0.14,-3.40700272,5.3,-80.89,8.33,-26.13,-2.8,-12.02,13.6,2.53,-4.54,2.53,2.36,-4.24,3.34,-6.01,17.81,-32,0,-3.24,2.76,-4.96,86.4,97.47,-6.3,1.07,2.34,0,103.62,4.4,0.09,0.99,0.51,39.03,844.54,3.39,5.27,5.93,0,-8.48,76.75,0,0,0,3509.03,-381,-286.16,419.27,0,88.64,82.75,26.16,479.58,61.1,17.25,67.45,32.55,519.27,25.58,21.83,394.48,291.27,13.41,228.94,35.05,900,674.52,25.44,48.25,31.1,65.13,17.15,18.73,61.77,21.61,32.04,2.01,-2.53,54.46,4.19,84.73,22.36,97.35,-14.37,-21.64,-4.68,-5.15,2.36,0.93,1.09,1.32,7.05,3.17,22.47,16.24,1.18,1.64,4.19,87.06,13.05,15.92,10.09,2.09,174.52,4.47,135.46,0.95,0,0,512.04,19.69,618.06,2.89,582.2,2629.23,3.19,148.99,-48.99,-142.44,,,,
(주)골프존데카,183410,Dec-15,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003-12-10,2013-11-12,,20,중소기업,UQ,27,제조업,-0.43527313,-46.55,-1.44,0,,-9.04,0.763248122,-10.34,157.15,-15.38,4.39,5.97,18.59,13.69,-1.95,-0.54,-1.4,-1.59,-0.44,-2.35,-0.64,-12.24,-3.36,1244.73,0.74,-1.82,-0.5,86.31,101.95,1.99,1.44,4.25,0.01,99.96,5.05,0.01,1.37,0.39,41.63,1467.53,3.67,5.43,5.85,0,-9.06,75.53,0,0,0,3134.68,-199,-138.69,423.23,0,-61.2,81.91,24.15,452.8,62.13,18.09,68.26,31.74,523.23,26.5,22.59,410.82,311.63,9.88,263.79,31.91,3578.63,722.69,7.37,46.49,29.21,65.31,17.28,19.04,61.97,25.41,37.22,-1.16,1.03,55.22,4.23,100.87,21.65,106.17,-17.42,-21.76,-5.53,-6.76,-1.35,0.82,0.93,1.2,6.27,2.54,23.41,15.59,0.99,1.32,3.94,92.64,11.21,14.73,10.34,1.6,227.48,4.62,213.52,0.79,0,0,1114.16,50.64,654.94,6.32,2369.94,7282.55,7.73,68.71,31.29,-6.93,,,,
(주)골프존데카,183410,Dec-16,32702,"  의료, 정밀, 광학기기 및 시계 제조업",1,8,2003-12-10,2013-11-12,,20,중소기업,UQ,27,제조업,-42.95537293,-42.84,-37.52,0,,1.51,-53.04832809,-25.97,-697.93,-22.73,-67.57,-4.2,11.56,11.28,-12.36,-59.87,-9.4,-9.53,-46.17,-14.92,-72.28,-57.08,-276.42,0,-44.82,-10.68,-51.74,88.72,112.36,-44.52,1.75,2.82,0.3,154.13,3.82,0.01,1.08,0.16,35.11,2867.96,3.74,5.88,5.15,0,-132.39,47.33,0,0,0,2320.49,-1934,2.8,143.13,0,-286.9,89.72,39.23,872.39,54.52,10.28,56.19,43.81,243.13,18.3,16.77,231.91,140.94,7.86,114.06,68.97,1263.21,267.71,9.03,77.98,68.85,96.57,9.13,10.05,51.03,34.66,61.68,-6.44,-31.48,33.08,1.43,109.9,19.78,88.01,-7.09,-8.97,-3.11,-2.93,-7.06,0.77,0.86,1.21,4.62,2.13,37.03,9.86,0.91,1.3,3.04,120.12,7.68,11.89,8.72,1.61,226.27,5.06,288.73,0.69,0,0,-5147.84,-302.81,627.43,-51.23,-19157.62,-61969.95,-48.26,0,0,0,,,,
