번호,회사명,종목코드,폐지일자,폐지사유,비고
163,유투바이오,221800,2023-11-02,코스닥시장 이전상장,유투바이오
162,에스엘에스바이오,246250,2023-10-20,코스닥시장 이전상장,에스엘에스바이오
161,피엔아이컴퍼니,242350,2023-09-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.9.4 限),
160,빅텐츠,210120,2023-08-17,코스닥시장 이전상장,빅텐츠
159,데이드림엔터,348840,2023-08-10,상장폐지 신청,
158,시큐센,232830,2023-06-29,코스닥시장 이전상장,시큐센
157,프로티아,303360,2023-06-16,코스닥시장 이전상장,프로티아
156,라이프사이언스테크놀로지,285770,2023-06-12,외부감사인의 감사의견 의견거절,
155,바이오시네틱스,281310,2023-06-12,외부감사인의 감사의견 의견거절,
154,청광건설,140290,2023-05-08,상장폐지 신청,
153,무송지오씨,135160,2023-05-02,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,
152,토마토시스템,393210,2023-04-27,코스닥시장 이전상장,토마토시스템
151,비엔디생활건강,215050,2023-04-21,감사의견 의견거절(감사범위제한),
150,명진홀딩스,267060,2023-04-18,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.4.4 限),
149,다이오진,271850,2023-04-12,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.29 限),
148,앙츠,267810,2023-04-04,지정자문인 선임계약 해지 후 30일 이내 미체결(2023.3.21 限),
147,이노진,344860,2023-02-20,코스닥시장 이전상장,이노진
146,오션스톤,329020,2022-12-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2022.12.13 限),
145,유비온,084440,2022-11-18,코스닥시장 이전상장,유비온
144,선바이오,067370,2022-10-05,코스닥시장 이전상장,선바이오
143,원텍,216280,2022-06-30,피흡수합병,
142,비플라이소프트,148780,2022-06-20,코스닥시장 이전상장,비플라이소프트
141,티티씨디펜스,309900,2022-06-16,외부감사인의 감사의견 의견거절,
140,인터코스,240340,2022-05-17,외부감사인의 감사의견 의견거절,
139,미애부,225850,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),
138,엠앤씨생명과학,225860,2022-04-27,감사의견 의견거절(감사범위제한 및 계속기업 존속불확실성),
137,이십일스토어,270020,2022-04-14,사업보고서 법정제출기한('22.3.31限) 내 미제출,
136,케어룸의료산업,327970,2022-03-11,상장폐지 신청,
135,인카금융서비스,211050,2022-02-16,코스닥시장 이전상장,인카금융서비스
134,애드바이오텍,179530,2022-01-24,코스닥시장 이전상장,애드바이오텍
133,래몽래인,200350,2021-12-30,코스닥시장 이전상장,래몽래인
132,툴젠,199800,2021-12-10,코스닥시장 이전상장,툴젠
131,에스에이티이엔지,158300,2021-12-09,피흡수합병,
130,다이노나,086080,2021-11-22,피흡수합병,
129,바이옵트로,222160,2021-11-18,코스닥시장 이전상장,바이옵트로
128,에스앤디,260970,2021-09-29,코스닥시장 이전상장,에스앤디
127,에이비온,203400,2021-09-08,코스닥시장 이전상장,에이비온
126,폭스소프트,354230,2021-09-01,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.8.18 限),
125,엠로,058970,2021-08-13,코스닥시장 이전상장,엠로
124,에브리봇,270660,2021-07-28,코스닥시장 이전상장,에브리봇
123,휴럼,284420,2021-07-27,피흡수합병,
122,라온테크,232680,2021-06-17,코스닥시장 이전상장,라온테크
121,SGA클라우드서비스,224880,2021-05-06,분산요건 미달,
120,전우정밀,120780,2021-05-06,분산요건 미달,
119,구스앤홈,329050,2021-04-13,사업보고서 법정제출기한('21.3.31限)내 미제출,
118,씨이랩,189330,2021-02-24,코스닥시장 이전상장,씨이랩
117,피엔에이치테크,239890,2021-02-16,코스닥시장 이전상장,피엔에이치테크
116,원바이오젠,278380,2021-02-09,피흡수합병,
115,이에스산업,241510,2021-01-26,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.1.13 限),
114,엠에프엠코리아,251960,2020-12-30,피흡수합병,
113,TS트릴리온,284610,2020-12-30,피흡수합병,
112,지놈앤컴퍼니,314130,2020-12-23,코스닥시장 이전상장,지놈앤컴퍼니
111,에프앤가이드,064850,2020-12-17,코스닥시장 이전상장,에프앤가이드
110,비엔에프코퍼레이션,271780,2020-11-05,상장폐지 신청('20.10.13),
109,미코바이오메드,214610,2020-10-22,코스닥시장 이전상장,미코바이오메드
108,비나텍,126340,2020-09-23,코스닥시장 이전상장,비나텍
107,티씨엠생명과학,228180,2020-08-07,포괄적 주식교환에 따른 상장폐지 신청('20.7.17),
106,에코앤드림,101360,2020-07-30,코스닥시장 이전상장,에코앤드림
105,제놀루션,225220,2020-07-24,코스닥시장 이전상장,제놀루션
104,티에스아이,277880,2020-07-22,코스닥시장 이전상장,티에스아이
103,젠큐릭스,229000,2020-06-25,코스닥시장 이전상장,젠큐릭스
102,LPK로보틱스,183350,2020-06-17,"외부감사인의 감사의견 거절(감사범위 제한), 감사의견 한정(감사범위 제한)",
101,카이노스메드,220250,2020-06-08,피흡수합병,
100,케미메디,205290,2020-05-13,외부감사인의 감사의견 의견거절(감사범위 제한),
99,씨티네트웍스,189540,2020-05-12,감사의견 거절(계속기업 존속능력에 대한 불확실성),
98,드림티엔터테인먼트,220110,2020-04-10,사업보고서 법정제출기한('20.3.30限)내 미제출,
97,대원모방,311840,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限),
96,유쎌,252370,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限),
95,위세아이텍,065370,2020-02-10,코스닥시장 이전상장,위세아이텍
94,소프트캠프,210610,2019-12-30,피흡수합병,
93,아이엘사이언스,122050,2019-12-27,피흡수합병,
92,인프라웨어테크놀러지,247300,2019-12-06,피흡수합병,
91,리메드,302550,2019-12-06,코스닥시장 이전상장,리메드
90,한국비엔씨,226610,2019-12-03,피흡수합병,
89,자비스,230400,2019-11-15,피흡수합병,
88,미디어젠,279600,2019-11-05,코스닥시장 이전상장,미디어젠
87,세종머티리얼즈,135270,2019-10-02,파산선고에 따른 해산사유 발생,
86,알로이스,271400,2019-10-01,피흡수합병,
85,그린플러스,186230,2019-08-07,코스닥시장 이전상장,그린플러스
84,주노콜렉션,221670,2019-07-16,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.7.2 限),
83,포인트엔지니어링,176560,2019-07-16,피흡수합병,
82,엔케이맥스,262760,2019-07-04,피흡수합병,
81,줌인터넷,229480,2019-06-10,피흡수합병,
80,수젠텍,253840,2019-05-28,코스닥시장 이전상장,수젠텍
79,영현무역,242850,2019-05-22,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.5.8 限),
78,지노믹트리,228760,2019-03-27,코스닥시장 이전상장,지노믹트리
77,제이에스피브이,250300,2019-03-04,지정자문인 선임계약 해지 후 30일이내 미체결(2019.2.1 限),
76,스페이스솔루션,245030,2019-02-27,상장폐지 신청('19.1.25),
75,나무기술,167380,2018-12-11,피흡수합병,
74,극동자동화,272420,2018-11-15,상장폐지 신청('18.11.5),
73,본느,242420,2018-10-29,피흡수합병,
72,세신버팔로,110660,2018-10-11,지정자문인 선임계약 해지 후 30일이내 미체결(2018.9.20限),
71,케이엠제약,237720,2018-09-28,피흡수합병,
70,지티지웰니스,219750,2018-09-21,코스닥시장 이전상장,지티지웰니스
69,인산가,062580,2018-09-11,피흡수합병,
68,에스와이제이,251540,2018-09-07,감사의견 거절(감사범위 제한),
67,디지캡,197140,2018-09-07,코스닥시장 이전상장,디지캡
66,오파스넷,173130,2018-08-24,코스닥시장 이전상장,오파스넷
65,지성이씨에스,138290,2018-08-22,상장폐지 신청('18.7.19),
64,피엠디아카데미,144740,2018-08-07,지정자문인 선임계약 해지 후 30일이내 미체결(2018.07.24限),
63,시냅스엠,246830,2018-05-14,감사의견 거절(계속기업 존속능력에 대한 불확실성),
62,태경피엔에스,235090,2018-05-09,감사의견 거절(감사범위 제한),
61,에스엠로보틱스,252940,2018-04-25,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
60,유디피,091270,2018-04-18,지정자문인 선임계약 해지 후 30일이내 미체결(2018.04.04限),
59,세기리텍,199870,2018-03-28,지정자문인 선임계약 해지후 30일이내 미체결(18.3.14限),
58,오스테오닉,226400,2018-02-22,코스닥시장 이전상장,오스테오닉
57,엔지켐생명과학,183490,2018-02-21,코스닥시장 이전상장,엔지켐생명과학
56,패션플랫폼,256090,2018-02-13,피흡수합병,
55,아시아종묘,154030,2018-02-12,코스닥시장 이전상장,아시아종묘
54,링크제니시스,219420,2018-02-05,코스닥시장 이전상장,링크제니시스
53,미래자원엠엘,233190,2017-12-28,피흡수합병,
52,SGA시스템즈,232290,2017-12-22,피흡수합병,
51,캐로스,260490,2017-11-29,지정자문인 선임계약 해지 후 30일이내 미체결(2017.11.15限),
50,비디아이,148140,2017-11-09,코스닥시장 이전상장,비디아이
49,폴라리스세원,234100,2017-10-20,코스닥시장 이전상장,폴라리스세원
48,세화피앤씨,085980,2017-09-19,피흡수합병,
47,케이피에스,256940,2017-09-06,코스닥시장 이전상장,케이피에스
46,디피앤케이,189700,2017-08-31,지정자문인 선임계약 해지 후 30일이내 미체결(2017.08.17限),
45,다린,204690,2017-08-02,상장폐지 신청('17.07.28),
44,아스팩오일,232360,2017-07-25,지정자문인 선임계약 해지 후 30일이내 미체결(2017.07.11限),
43,비앤에스미디어,156170,2017-07-13,지정자문인 선임계약 해지 후 30일이내 미체결(2017.6.29限),
42,금오하이텍,165270,2017-06-07,최종부도 발생,
41,SY이노베이션,194860,2017-04-12,감사의견 거절(감사범위제한),
40,이엘피,063760,2017-04-06,코스닥시장 이전상장,이엘피
39,한주라이트메탈,198940,2017-02-21,상장폐지 신청('17.1.18),한주라이트메탈
38,씨아이에스,144630,2017-01-20,피흡수합병,
37,나이코,192240,2016-12-23,상장폐지 신청('16.12.9),
36,코썬바이오,204990,2016-12-09,코스닥시장 이전상장,
35,유니온커뮤니티,203450,2016-12-07,코스닥시장 이전상장,유니온커뮤니티
34,솔트웍스,222520,2016-12-05,피흡수합병,
33,이푸른,185280,2016-12-05,지정자문인 선임계약 해지 후 30일이내 미체결(2016.11.21限),
32,퓨쳐켐,220100,2016-12-01,코스닥시장 이전상장,퓨쳐켐
31,엘앤케이바이오,156100,2016-11-30,코스닥시장 이전상장,엘앤케이바이오
30,핸디소프트,220180,2016-11-24,코스닥시장 이전상장,핸디소프트
29,디와이엘엔제이,207230,2016-07-26,지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2016.07.12限) 지정자문인 선임계약 미체결,
28,아이윈플러스,123010,2016-07-20,코스닥시장 이전상장,아이윈플러스
27,에이치앤아이,103650,2016-07-14,최종부도 발생,
26,비지스틸,179440,2016-07-07,상장폐지 신청('16.6.14),
25,비엘,142760,2016-07-07,코스닥시장 이전상장,비엘
24,정다운,224090,2016-06-29,피흡수합병,
23,알엔투테크놀로지,148250,2016-06-22,코스닥시장 이전상장,알엔투테크놀로지
22,닉스테크,063840,2016-04-12,피흡수합병,
21,테라텍,151750,2016-02-23,상장폐지 신청('16.02.01),
20,예스티,122640,2015-12-16,코스닥시장 이전상장,예스티
19,리드,197210,2015-11-20,코스닥시장 이전상장,
18,DXVX,180400,2015-11-20,코스닥시장 이전상장,DXVX
17,매직마이크로,127160,2015-11-19,코스닥시장 이전상장,
16,아이진,185490,2015-11-16,코스닥시장 이전상장,아이진
15,엑시콘,092870,2015-10-22,코스닥시장 이전상장,엑시콘
14,프렉코,082220,2015-09-25,지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2015.09.11限) 지정자문인 선임계약 미체결,
13,칩스앤미디어,094360,2015-08-05,코스닥시장 이전상장,칩스앤미디어
12,베셀,177350,2015-06-19,코스닥시장 이전상장,베셀
11,스탠다드펌,179280,2015-04-30,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
10,웹솔루스,160350,2015-04-30,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),
9,자원메디칼,181980,2015-04-15,상장폐지 신청('15.03.23),
8,아이티센,124500,2014-12-23,코스닥시장 이전상장,아이티센
7,하이로닉,149980,2014-12-17,코스닥시장 이전상장,하이로닉
6,랩지노믹스,084650,2014-12-16,코스닥시장 상장,랩지노믹스
5,판타지오,187770,2014-11-10,피흡수합병,
4,퓨얼셀,139170,2014-10-30,피흡수합병,
3,테라셈,182690,2014-10-30,코스닥시장 상장,
2,메디아나,041920,2014-10-07,코스닥시장 상장,메디아나
1,아진엑스텍,059120,2014-07-24,코스닥시장 상장,아진엑스텍
