구분,2012년,2013년,2014년,2015년,2016년,2017년,2018년,2019년,2020년,2021년,2022년
은행,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
전력,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
도시가스,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
손해보험,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
생명보험,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
정유,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.5,2.0
음식료(식품가공),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
음식료(곡물가공),2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
식품,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
통신서비스,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
주류,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
비철금속,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
타이어,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
호텔,4.0,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,3.5
소매유통,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,3.5
신용카드,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
제약,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
석유화학,3.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
증권,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
육상운송,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
자동차,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
방송서비스,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
시멘트,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
철강,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
전선,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
항공운송,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
외식,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0
제지,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
메모리반도체,5.5,5.5,5.5,5.5,5.5,5.5,5.0,5.0,5.0,5.0,5.5
자동차부품,5.5,5.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
부동산신탁,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
할부리스,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
SI,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
디스플레이패널,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
조선,4.0,5.0,5.0,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
종합건설,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
해외건설,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
화학섬유,6.5,6.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
저축은행,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
해상운송,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
의류,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5
주택건설,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
대부,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5
